Entity,Code,Day,vaccine_eligibility_age
Albania,ALB,2021-03-17,75
Albania,ALB,2021-03-18,75
Albania,ALB,2021-03-19,75
Albania,ALB,2021-03-20,75
Albania,ALB,2021-03-21,75
Albania,ALB,2021-03-22,75
Albania,ALB,2021-03-23,75
Albania,ALB,2021-03-24,75
Albania,ALB,2021-03-25,75
Albania,ALB,2021-03-26,75
Albania,ALB,2021-03-27,75
Albania,ALB,2021-03-28,70
Albania,ALB,2021-03-29,70
Albania,ALB,2021-03-30,70
Albania,ALB,2021-03-31,70
Albania,ALB,2021-04-01,70
Albania,ALB,2021-04-02,70
Albania,ALB,2021-04-03,70
Albania,ALB,2021-04-04,70
Albania,ALB,2021-04-05,70
Albania,ALB,2021-04-06,70
Albania,ALB,2021-04-07,70
Albania,ALB,2021-04-08,70
Albania,ALB,2021-04-09,70
Albania,ALB,2021-04-10,60
Albania,ALB,2021-04-11,60
Albania,ALB,2021-04-12,60
Albania,ALB,2021-04-13,60
Albania,ALB,2021-04-14,60
Albania,ALB,2021-04-15,60
Albania,ALB,2021-04-16,60
Albania,ALB,2021-04-17,60
Albania,ALB,2021-04-18,60
Albania,ALB,2021-04-19,60
Albania,ALB,2021-04-20,60
Albania,ALB,2021-04-21,60
Albania,ALB,2021-04-22,60
Albania,ALB,2021-04-23,60
Albania,ALB,2021-04-24,60
Albania,ALB,2021-04-25,60
Albania,ALB,2021-04-26,60
Albania,ALB,2021-04-27,60
Albania,ALB,2021-04-28,60
Albania,ALB,2021-04-29,60
Albania,ALB,2021-04-30,60
Albania,ALB,2021-05-01,60
Albania,ALB,2021-05-02,60
Albania,ALB,2021-05-03,60
Albania,ALB,2021-05-04,60
Albania,ALB,2021-05-05,60
Albania,ALB,2021-05-06,60
Albania,ALB,2021-05-07,60
Albania,ALB,2021-05-08,60
Albania,ALB,2021-05-09,60
Albania,ALB,2021-05-10,60
Albania,ALB,2021-05-11,60
Albania,ALB,2021-05-12,60
Albania,ALB,2021-05-13,60
Albania,ALB,2021-05-14,60
Albania,ALB,2021-05-15,60
Albania,ALB,2021-05-16,60
Albania,ALB,2021-05-17,60
Albania,ALB,2021-05-18,60
Albania,ALB,2021-05-19,60
Albania,ALB,2021-05-20,60
Albania,ALB,2021-05-21,60
Albania,ALB,2021-05-22,60
Albania,ALB,2021-05-23,60
Albania,ALB,2021-05-24,60
Albania,ALB,2021-05-25,60
Albania,ALB,2021-05-26,60
Albania,ALB,2021-05-27,60
Albania,ALB,2021-05-28,60
Albania,ALB,2021-05-29,60
Albania,ALB,2021-05-30,60
Albania,ALB,2021-05-31,60
Albania,ALB,2021-06-01,60
Albania,ALB,2021-06-02,60
Albania,ALB,2021-06-03,60
Albania,ALB,2021-06-04,60
Albania,ALB,2021-06-05,60
Albania,ALB,2021-06-06,60
Albania,ALB,2021-06-07,60
Albania,ALB,2021-06-08,60
Albania,ALB,2021-06-09,60
Albania,ALB,2021-06-10,60
Albania,ALB,2021-06-11,60
Albania,ALB,2021-06-12,60
Albania,ALB,2021-06-13,60
Albania,ALB,2021-06-14,60
Albania,ALB,2021-06-15,60
Albania,ALB,2021-06-16,60
Albania,ALB,2021-06-17,60
Albania,ALB,2021-06-18,60
Albania,ALB,2021-06-19,60
Albania,ALB,2021-06-20,60
Albania,ALB,2021-06-21,50
Albania,ALB,2021-06-22,50
Albania,ALB,2021-06-23,50
Albania,ALB,2021-06-24,50
Albania,ALB,2021-06-25,50
Albania,ALB,2021-06-26,50
Albania,ALB,2021-06-27,50
Albania,ALB,2021-06-28,50
Albania,ALB,2021-06-29,16
Albania,ALB,2021-06-30,16
Albania,ALB,2021-07-01,50
Albania,ALB,2021-07-02,50
Albania,ALB,2021-07-03,50
Albania,ALB,2021-07-04,50
Albania,ALB,2021-07-05,50
Albania,ALB,2021-07-06,50
Albania,ALB,2021-07-07,50
Albania,ALB,2021-07-08,50
Albania,ALB,2021-07-09,50
Albania,ALB,2021-07-10,50
Albania,ALB,2021-07-11,50
Albania,ALB,2021-07-12,50
Albania,ALB,2021-07-13,50
Albania,ALB,2021-07-14,50
Albania,ALB,2021-07-15,50
Albania,ALB,2021-07-16,50
Albania,ALB,2021-07-17,50
Albania,ALB,2021-07-18,50
Albania,ALB,2021-07-19,16
Albania,ALB,2021-07-20,16
Albania,ALB,2021-07-21,16
Albania,ALB,2021-07-22,16
Albania,ALB,2021-07-23,16
Albania,ALB,2021-07-24,16
Albania,ALB,2021-07-25,16
Albania,ALB,2021-07-26,50
Albania,ALB,2021-07-27,50
Albania,ALB,2021-07-28,50
Albania,ALB,2021-07-29,50
Albania,ALB,2021-07-30,50
Albania,ALB,2021-07-31,50
Albania,ALB,2021-08-01,16
Albania,ALB,2021-08-02,16
Albania,ALB,2021-08-03,16
Albania,ALB,2021-08-04,16
Albania,ALB,2021-08-05,16
Albania,ALB,2021-08-06,16
Albania,ALB,2021-08-07,16
Albania,ALB,2021-08-08,16
Albania,ALB,2021-08-09,16
Albania,ALB,2021-08-10,16
Albania,ALB,2021-08-11,16
Albania,ALB,2021-08-12,16
Albania,ALB,2021-08-13,16
Albania,ALB,2021-08-14,16
Albania,ALB,2021-08-15,16
Albania,ALB,2021-08-16,16
