Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-07-23,1987,6689,16,26268,58396,1143266,32128,481,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-24,1824,1586,8,26506,60220,1169772,33714,489,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-25,1110,587,7,27029,61330,1196801,34301,496,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-26,1040,2714,10,25355,62370,1222156,37015,506,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-27,2048,1749,7,25654,64418,1247810,38764,513,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-28,2120,1547,8,26227,66538,1274037,40311,521,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-29,1957,1391,15,26793,68495,1300830,41702,536,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-30,1786,1674,15,26905,70281,1327735,43376,551,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-07-31,1359,1291,14,26973,71640,1354708,44667,565,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-01,622,532,14,27063,72262,1381771,45199,579,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-02,708,2422,12,25349,72970,1407120,47621,591,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-03,1799,1776,15,25372,74769,1432492,49397,606,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-04,1724,1639,11,25457,76493,1457949,51036,617,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-05,1686,1475,10,25668,78179,1483617,52511,627,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-06,1675,1739,9,25604,79854,1509221,54250,636,1,1,2,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-07,1760,1204,12,26160,81614,1535381,55454,648,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-08,754,602,13,26312,82368,1561693,56056,661,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-09,922,2323,8,24911,83290,1586604,58379,669,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-10,1696,1389,15,25218,84986,1611822,59768,684,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-11,1822,984,11,26056,86808,1637878,60752,695,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-12,1615,1132,16,26539,88423,1664417,61884,711,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-13,1641,1301,16,26879,90064,1691296,63185,727,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-14,1389,984,12,27284,91453,1718580,64169,739,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-15,754,566,10,27472,92207,1746052,64735,749,1,1,0,3,0,3,2,1,0,4,2,1,0,0,nil,2,2,0
2020-08-16,1069,2212,20,26329,93276,1772381,66947,769,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-17,1649,1183,4,26795,94925,1799176,68130,773,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-18,1645,1113,14,27327,96570,1826503,69243,787,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-19,1638,1465,12,27500,98208,1854003,70708,799,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-20,1485,1424,14,27561,99693,1881564,72132,813,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-21,1491,1035,13,28017,101184,1909581,73167,826,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-22,710,661,10,28066,101894,1937647,73828,836,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-23,964,2107,13,26923,102858,1964570,75935,849,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-24,1901,1394,16,27430,104759,1992000,77329,865,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-25,1957,791,19,28596,106716,2020596,78120,884,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-26,1984,3624,11,26956,108700,2047552,81744,895,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-27,2106,1507,11,27555,110806,2075107,83251,906,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-28,1833,1828,13,27560,112639,2102667,85079,919,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-29,907,705,5,27762,113546,2130429,85784,924,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-30,1099,2244,14,26617,114645,2157046,88028,938,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-08-31,2171,1463,23,27325,116816,2184371,89491,961,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-01,2254,1006,15,28573,119070,2212944,90497,976,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-02,3193,1392,13,30374,122263,2243318,91889,989,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-03,2665,1790,16,31249,124928,2274567,93679,1005,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-04,2623,1187,12,32685,127551,2307252,94866,1017,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-05,1503,882,15,33306,129054,2340558,95748,1032,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-06,2176,2386,12,33096,131230,2373654,98134,1044,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-07,3385,1588,17,34893,134615,2408547,99722,1061,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-08,3487,1421,20,36959,138102,2445506,101143,1081,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-09,3991,1460,15,39490,142093,2484996,102603,1096,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-10,4152,1971,14,41671,146245,2526667,104574,1110,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-11,3972,1764,20,43879,150217,2570546,106338,1130,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-12,2718,1257,15,45340,152935,2615886,107595,1145,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-13,3172,3258,17,45254,156107,2661140,110853,1162,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-14,4803,2388,20,47669,160910,2708809,113241,1182,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-15,5527,2257,16,50939,166437,2759748,115498,1198,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-16,4567,2783,26,52723,171004,2812471,118281,1224,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-17,5378,3696,17,54405,176382,2866876,121977,1241,1,1,0,3,0,3,2,1,0,2,2,1,0,0,nil,2,2,0
2020-09-18,5333,2827,21,56911,181715,2923787,124804,1262,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-19,3809,1433,28,59287,185524,2983074,126237,1290,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-20,2576,2464,21,59399,188100,3042473,128701,1311,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-21,3869,4631,32,58637,191969,3101110,133332,1343,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-22,7019,3500,25,62156,198988,3163266,136832,1368,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-23,7142,3801,25,65497,206130,3228763,140633,1393,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-24,8258,4564,31,69191,214388,3297954,145197,1424,3,2,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-25,8385,4117,29,73459,222773,3371413,149314,1453,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-26,5879,2388,27,76950,228652,3448363,151702,1480,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-27,3436,5658,31,74728,232088,3523091,157360,1511,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-28,1153,2158,29,73723,233241,3596814,159518,1540,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-29,4986,5758,35,72951,238227,3669765,165276,1575,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-09-30,9051,5093,37,76909,247278,3746674,170369,1612,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-01,7717,5740,46,78886,254995,3825560,176109,1658,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-02,7053,5563,25,80376,262048,3905936,181672,1683,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-03,2593,3478,38,79491,264641,3985427,185150,1721,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-04,2931,8084,37,74338,267572,4059765,193234,1758,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
